FONTE,PRODUÇÃO,IMPORTAÇÃO,ANO
 PETRÓLEO ,156397.802022,12723.559299,2022
 GÁS NATURAL ,49970.61201600001,7721.648,2022
 CARVÃO VAPOR ,2311.0422162179398,3257.37047115064,2022
 CARVÃO METALÚRGICO ,0,7404.899246566644,2022
 URÂNIO U3O8 ,516.2398697999998,3159.6227221834993,2022
 ENERGIA HIDRÁULICA ,36731.765238840235,0,2022
 LENHA ,27283.262219729237,0,2022
 PRODUTOS DA CANA ,47740.20374115192,0,2022
 OUTRAS FONTES PRIMÁRIAS ,33597.36345197181,0,2022
 ENERGIA PRIMÁRIA TOTAL ,354548.29077571107,34267.09973890078,2022
 BIODIESEL ,0,0,2022
 ÓLEO DIESEL ,0,12198.195072,2022
 ÓLEO COMBUSTÍVEL ,0,201.928914,2022
 GASOLINA ,0,3192.6471500000002,2022
 GLP ,0,2143.794315,2022
 NAFTA ,0,6451.253415,2022
 QUEROSENE ,0,1063.94337,2022
 GÁS DE CIDADE E DE COQUERIA ,0,0,2022
 COQUE DE CARVÃO MINERAL ,0,1081.6614455179374,2022
 URÂNIO CONTIDO NO UO2,0,2780.5657141364995,2022
 ELETRICIDADE,0,1538.255006338808,2022
 CARVÃO VEGETAL ,0,0,2022
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,52.79925,2022
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2941.2846528,2022
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1533.4537239999997,2022
 ALCATRÃO ,0,0,2022
 ENERGIA SECUNDÁRIA TOTAL ,0,35179.78202879325,2022
 TOTAL  ,354548.29077571107,69446.88176769402,2022
CONTA,PRODUÇÃO,IMPORTAÇÃO,2021
 PETRÓLEO ,150386.11275600002,7247.056310999999,2021
 GÁS NATURAL ,48462.373125,14833.016000000001,2021
 CARVÃO VAPOR ,2639.6247441998057,5372.347005570498,2021
 CARVÃO METALÚRGICO ,0,7893.391175926018,2021
 URÂNIO U3O8 ,342.64919474999994,4722.788652804499,2021
 ENERGIA HIDRÁULICA ,31202.386794153845,0,2021
 LENHA ,27406.73196699378,0,2021
 PRODUTOS DA CANA ,49425.409064611216,0,2021
 OUTRAS FONTES PRIMÁRIAS ,28436.729559164352,0,2021
 ENERGIA PRIMÁRIA TOTAL ,338302.017204873,40068.599145301014,2021
 BIODIESEL ,0,0,2021
 ÓLEO DIESEL ,0,12242.282592,2021
 ÓLEO COMBUSTÍVEL ,0,595.087482,2021
 GASOLINA ,0,2121.32228,2021
 GLP ,0,2454.470096,2021
 NAFTA ,0,6051.87828,2021
 QUEROSENE ,0,307.30059,2021
 GÁS DE CIDADE E DE COQUERIA ,0,0,2021
 COQUE DE CARVÃO MINERAL ,0,1153.0172963999999,2021
 URÂNIO CONTIDO NO UO2,0,3128.7673261661,2021
 ELETRICIDADE,0,1990.6326259999998,2021
 CARVÃO VEGETAL ,0,0,2021
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,230.68800000000002,2021
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2898.425712,2021
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1710.736232,2021
 ALCATRÃO ,0,0,2021
 ENERGIA SECUNDÁRIA TOTAL ,0,34884.6085125661,2021
 TOTAL  ,338302.017204873,74953.20765786711,2021
CONTA,PRODUÇÃO,IMPORTAÇÃO,2020
 PETRÓLEO ,152634.90231,8684.466516,2020
 GÁS NATURAL ,46298.91252600001,8457.8208,2020
 CARVÃO VAPOR ,2084.7666965990966,3897.372091318049,2020
 CARVÃO METALÚRGICO ,0,6814.570878683599,2020
 URÂNIO U3O8 ,205.82271499999996,4698.8758047699985,2020
 ENERGIA HIDRÁULICA ,34088.782803496455,0,2020
 LENHA ,26456.694162780597,0,2020
 PRODUTOS DA CANA ,55597.40221108347,0,2020
 OUTRAS FONTES PRIMÁRIAS ,25171.043291224014,0,2020
 ENERGIA PRIMÁRIA TOTAL ,342538.3267161837,32553.10609077165,2020
 BIODIESEL ,0,0,2020
 ÓLEO DIESEL ,0,10171.386031999999,2020
 ÓLEO COMBUSTÍVEL ,0,37.244526,2020
 GASOLINA ,0,3805.0645780000004,2020
 GLP ,0,2234.611522,2020
 NAFTA ,0,2932.030035,2020
 QUEROSENE ,0,268.535892,2020
 GÁS DE CIDADE E DE COQUERIA ,0,0,2020
