FONTE,    PRODUÇÃO  ,    IMPORTAÇÃO  ,ANO
 PETRÓLEO ,156398,12724,2022
 GÁS NATURAL ,49971,7722,2022
 CARVÃO VAPOR ,2311,3257,2022
 CARVÃO METALÚRGICO ,0,7405,2022
 URÂNIO U3O8 ,516,3160,2022
 ENERGIA HIDRÁULICA ,36732,0,2022
 LENHA ,27283,0,2022
 PRODUTOS DA CANA ,47740,0,2022
 OUTRAS FONTES PRIMÁRIAS ,33597,0,2022
 ENERGIA PRIMÁRIA TOTAL ,354548,34267,2022
 BIODIESEL ,0,0,2022
 ÓLEO DIESEL ,0,12198,2022
 ÓLEO COMBUSTÍVEL ,0,202,2022
 GASOLINA ,0,3193,2022
 GLP ,0,2144,2022
 NAFTA ,0,6451,2022
 QUEROSENE ,0,1064,2022
 GÁS DE CIDADE E DE COQUERIA ,0,0,2022
 COQUE DE CARVÃO MINERAL ,0,1082,2022
 URÂNIO CONTIDO NO UO2,0,2781,2022
 ELETRICIDADE,0,1538,2022
 CARVÃO VEGETAL ,0,0,2022
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,53,2022
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2941,2022
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1533,2022
 ALCATRÃO ,0,0,2022
 ENERGIA SECUNDÁRIA TOTAL ,0,35180,2022
 TOTAL  ,354548,69447,2022
 PETRÓLEO ,150386,7247,2021
 GÁS NATURAL ,48462,14833,2021
 CARVÃO VAPOR ,2640,5372,2021
 CARVÃO METALÚRGICO ,0,7893,2021
 URÂNIO U3O8 ,343,4723,2021
 ENERGIA HIDRÁULICA ,31202,0,2021
 LENHA ,27407,0,2021
 PRODUTOS DA CANA ,49425,0,2021
 OUTRAS FONTES PRIMÁRIAS ,28437,0,2021
 ENERGIA PRIMÁRIA TOTAL ,338302,40069,2021
 BIODIESEL ,0,0,2021
 ÓLEO DIESEL ,0,12242,2021
 ÓLEO COMBUSTÍVEL ,0,595,2021
 GASOLINA ,0,2121,2021
 GLP ,0,2454,2021
 NAFTA ,0,6052,2021
 QUEROSENE ,0,307,2021
 GÁS DE CIDADE E DE COQUERIA ,0,0,2021
 COQUE DE CARVÃO MINERAL ,0,1153,2021
 URÂNIO CONTIDO NO UO2,0,3129,2021
 ELETRICIDADE,0,1991,2021
 CARVÃO VEGETAL ,0,0,2021
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,231,2021
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2898,2021
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1711,2021
 ALCATRÃO ,0,0,2021
 ENERGIA SECUNDÁRIA TOTAL ,0,34885,2021
 TOTAL  ,338302,74953,2021
 PETRÓLEO ,152635,8684,2020
 GÁS NATURAL ,46299,8458,2020
 CARVÃO VAPOR ,2085,3897,2020
 CARVÃO METALÚRGICO ,0,6815,2020
 URÂNIO U3O8 ,206,4699,2020
 ENERGIA HIDRÁULICA ,34089,0,2020
 LENHA ,26457,0,2020
 PRODUTOS DA CANA ,55597,0,2020
 OUTRAS FONTES PRIMÁRIAS ,25171,0,2020
 ENERGIA PRIMÁRIA TOTAL ,342538,32553,2020
 BIODIESEL ,0,0,2020
 ÓLEO DIESEL ,0,10171,2020
 ÓLEO COMBUSTÍVEL ,0,37,2020
 GASOLINA ,0,3805,2020
 GLP ,0,2235,2020
 NAFTA ,0,2932,2020
 QUEROSENE ,0,269,2020
 GÁS DE CIDADE E DE COQUERIA ,0,0,2020
 COQUE DE CARVÃO MINERAL ,0,937,2020
 URÂNIO CONTIDO NO UO2,0,2594,2020
 ELETRICIDADE,0,2160,2020
 CARVÃO VEGETAL ,0,0,2020
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,511,2020
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2057,2020
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1236,2020
 ALCATRÃO ,0,0,2020
 ENERGIA SECUNDÁRIA TOTAL ,0,28943,2020
 TOTAL  ,342538,61496,2020
 PETRÓLEO ,144303,8885,2019
 GÁS NATURAL ,44398,8628,2019
 CARVÃO VAPOR ,2162,4901,2019
 CARVÃO METALÚRGICO ,0,7536,2019
 URÂNIO U3O8 ,0,3073,2019
 ENERGIA HIDRÁULICA ,34217,0,2019
 LENHA ,26411,0,2019
 PRODUTOS DA CANA ,52861,0,2019
 OUTRAS FONTES PRIMÁRIAS ,23320,0,2019
 ENERGIA PRIMÁRIA TOTAL ,327672,33023,2019
 BIODIESEL ,0,0,2019
 ÓLEO DIESEL ,0,11031,2019
 ÓLEO COMBUSTÍVEL ,0,54,2019
 GASOLINA ,0,3763,2019
 GLP ,0,2172,2019
 NAFTA ,0,6611,2019
 QUEROSENE ,0,853,2019
 GÁS DE CIDADE E DE COQUERIA ,0,0,2019
 COQUE DE CARVÃO MINERAL ,0,902,2019
 URÂNIO CONTIDO NO UO2,0,3269,2019
 ELETRICIDADE,0,2163,2019
 CARVÃO VEGETAL ,0,0,2019
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,767,2019
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2135,2019
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1142,2019
 ALCATRÃO ,0,0,2019
 ENERGIA SECUNDÁRIA TOTAL ,0,34863,2019
 TOTAL  ,327672,67886,2019
 PETRÓLEO ,134067,9627,2018
 GÁS NATURAL ,40560,9324,2018
 CARVÃO VAPOR ,1930,5603,2018
 CARVÃO METALÚRGICO ,0,8205,2018
 URÂNIO U3O8 ,0,5116,2018
 ENERGIA HIDRÁULICA ,33452,0,2018
 LENHA ,26250,0,2018
 PRODUTOS DA CANA ,50895,0,2018
 OUTRAS FONTES PRIMÁRIAS ,22442,0,2018
 ENERGIA PRIMÁRIA TOTAL ,309595,37876,2018
 BIODIESEL ,0,0,2018
 ÓLEO DIESEL ,0,9879,2018
 ÓLEO COMBUSTÍVEL ,0,305,2018
 GASOLINA ,0,2493,2018
 GLP ,0,2130,2018
 NAFTA ,0,6102,2018
 QUEROSENE ,0,737,2018
 GÁS DE CIDADE E DE COQUERIA ,0,0,2018
 COQUE DE CARVÃO MINERAL ,0,1269,2018
 URÂNIO CONTIDO NO UO2,0,1150,2018
 ELETRICIDADE,0,3008,2018
 CARVÃO VEGETAL ,0,0,2018
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,947,2018
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2198,2018
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1243,2018
 ALCATRÃO ,0,0,2018
 ENERGIA SECUNDÁRIA TOTAL ,0,31462,2018
 TOTAL  ,309595,69339,2018
 PETRÓLEO ,135907,7491,2017
 GÁS NATURAL ,39810,9434,2017
 CARVÃO VAPOR ,1931,5453,2017
 CARVÃO METALÚRGICO ,0,8580,2017
 URÂNIO U3O8 ,0,5206,2017
 ENERGIA HIDRÁULICA ,31898,0,2017
 LENHA ,24864,0,2017
 PRODUTOS DA CANA ,49725,0,2017
 OUTRAS FONTES PRIMÁRIAS ,20044,0,2017
 ENERGIA PRIMÁRIA TOTAL ,304177,36164,2017
 BIODIESEL ,0,0,2017
 ÓLEO DIESEL ,0,10986,2017
 ÓLEO COMBUSTÍVEL ,0,72,2017
 GASOLINA ,0,3456,2017
 GLP ,0,2012,2017
 NAFTA ,0,8160,2017
 QUEROSENE ,0,473,2017
 GÁS DE CIDADE E DE COQUERIA ,0,0,2017
 COQUE DE CARVÃO MINERAL ,0,1061,2017
 URÂNIO CONTIDO NO UO2,0,3063,2017
 ELETRICIDADE,0,3140,2017
 CARVÃO VEGETAL ,0,0,2017
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,975,2017
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1738,2017
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1136,2017
 ALCATRÃO ,0,0,2017
 ENERGIA SECUNDÁRIA TOTAL ,0,36272,2017
 TOTAL  ,304177,72436,2017
 PETRÓLEO ,130373,8009,2016
 GÁS NATURAL ,37610,10320,2016
 CARVÃO VAPOR ,2636,4992,2016
 CARVÃO METALÚRGICO ,0,7917,2016
 URÂNIO U3O8 ,0,4173,2016
 ENERGIA HIDRÁULICA ,32758,0,2016
 LENHA ,23502,0,2016
 PRODUTOS DA CANA ,50658,0,2016
 OUTRAS FONTES PRIMÁRIAS ,18324,0,2016
 ENERGIA PRIMÁRIA TOTAL ,295862,35411,2016
 BIODIESEL ,0,0,2016
 ÓLEO DIESEL ,0,7182,2016
 ÓLEO COMBUSTÍVEL ,0,62,2016
 GASOLINA ,0,2934,2016
 GLP ,0,2111,2016
 NAFTA ,0,6630,2016
 QUEROSENE ,0,786,2016
 GÁS DE CIDADE E DE COQUERIA ,0,0,2016
 COQUE DE CARVÃO MINERAL ,0,764,2016
 URÂNIO CONTIDO NO UO2,0,2180,2016
 ELETRICIDADE,0,3553,2016
 CARVÃO VEGETAL ,0,0,2016
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,434,2016
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1605,2016
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1042,2016
 ALCATRÃO ,0,0,2016
 ENERGIA SECUNDÁRIA TOTAL ,0,29284,2016
 TOTAL  ,295862,64694,2016
 PETRÓLEO ,126127,15377,2015
 GÁS NATURAL ,34871,16198,2015
 CARVÃO VAPOR ,2459,5638,2015
 CARVÃO METALÚRGICO ,0,7625,2015
 URÂNIO U3O8 ,512,2159,2015
 ENERGIA HIDRÁULICA ,30938,0,2015
 LENHA ,25075,0,2015
 PRODUTOS DA CANA ,50400,0,2015
 OUTRAS FONTES PRIMÁRIAS ,16743,0,2015
 ENERGIA PRIMÁRIA TOTAL ,287126,46997,2015
 BIODIESEL ,0,0,2015
 ÓLEO DIESEL ,0,5885,2015
 ÓLEO COMBUSTÍVEL ,0,339,2015
 GASOLINA ,0,2260,2015
 GLP ,0,1950,2015
 NAFTA ,0,6172,2015
 QUEROSENE ,0,1129,2015
 GÁS DE CIDADE E DE COQUERIA ,0,0,2015
 COQUE DE CARVÃO MINERAL ,0,1584,2015
 URÂNIO CONTIDO NO UO2,0,2729,2015
 ELETRICIDADE,0,2979,2015
 CARVÃO VEGETAL ,0,0,2015
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,432,2015
